,Cluster_label,Venue_name,Venue_lat,Venue_lng,Distance,Beach,Ethiopian_restaurant,Indian_restaurant,Italian_restaurant,Lake,Mexican_restaurant,Scenic_lookout,Waterfall
161,1,The Chowder Hut,37.80880771718759,-122.41563030758492,2327,1,0,0,0,0,0,0,0
26,1,Shoulder dancing authentic Ethiopian foods,37.7706977768871,-122.4250316619873,2339,0,1,0,0,0,0,0,0
99,1,757 Beach,37.806841418144046,-122.42331437843707,2351,1,0,0,0,0,0,0,0
136,1,Los Yaquis,37.767939995903745,-122.4178143813895,2356,0,0,0,0,0,1,0,0
9,1,Hyde Beach,37.80733425573182,-122.42254257202148,2368,1,0,0,0,0,0,0,0
52,1,Scoma's Restaurant,37.808956285215075,-122.41823491475608,2397,0,0,0,1,0,0,0,0
131,1,Swiss Louis,37.810184493448745,-122.41076485542048,2436,0,0,0,1,0,0,0,0
45,1,Tacko,37.79830032084006,-122.43588941524072,2495,0,0,0,0,0,1,0,0
0,1,View of Alcatraz,37.8110018095408,-122.41075076252426,2527,0,0,0,0,0,0,1,0
53,1,Fort Mason Great Meadow,37.80498194040014,-122.43005487797149,2531,0,0,0,0,0,0,1,0
123,1,Bubba Gump Shrimp Co.,37.8110504,-122.4104181,2532,1,0,0,0,0,0,0,0
24,1,Rose's Cafe,37.79703400320167,-122.43711629328334,2535,0,0,0,1,0,0,0,0
141,1,Indian Oven,37.771690413252195,-122.43040063165296,2546,0,0,1,0,0,0,0,0
49,1,Dos Piñas,37.76628654198025,-122.40263763540501,2546,0,0,0,0,0,1,0,0
28,1,Terzo,37.79709262453753,-122.43723592097093,2547,0,0,0,1,0,0,0,0
159,1,Naan N Curry,37.799634,-122.436185,2587,0,0,1,0,0,0,0,0
46,1,Uva Enoteca,37.77201109794026,-122.4315560597662,2592,0,0,0,1,0,0,0,0
148,1,El Burrito Express,37.786365321623215,-122.4401081584142,2613,0,0,0,0,0,1,0,0
100,1,Sunset state beach,37.804084525970694,-122.43278298882494,2632,1,0,0,0,0,0,0,0
36,1,Poc-Chuc Restaurant,37.76521421605597,-122.4172427395261,2637,0,0,0,0,0,1,0,0
157,1,San Francisco Point of Embarkation,37.807321,-122.429529,2699,0,0,0,0,0,0,1,0
117,1,Che Fico Alimentari,37.777446999999995,-122.43798600000001,2703,0,0,0,1,0,0,0,0
47,1,Che Fico,37.77743530258914,-122.43814920428349,2716,0,0,0,1,0,0,0,0
12,1,Saffron Grill,37.77684808492807,-122.43781643978348,2720,0,0,1,0,0,0,0,0
158,1,El Rancho Grande,37.777564743806714,-122.43833204090755,2724,0,0,0,0,0,1,0,0
12,1,Oasis Cafe,37.77779127675806,-122.43846977980236,2724,0,1,0,0,0,0,0,0
33,1,Little Star Pizza,37.77748853090511,-122.43828074763262,2724,0,0,0,1,0,0,0,0
221,1,StreetTaco,37.766727,-122.395775,2728,0,0,0,0,0,1,0,0
16,1,El Castillito,37.7687639,-122.4293081,2732,0,0,0,0,0,1,0,0
84,1,Taqueria Los Coyotes,37.764967648133116,-122.42046485547546,2741,0,0,0,0,0,1,0,0
21,1,Axum Cafe,37.77177928516959,-122.43376692744971,2751,0,1,0,0,0,0,0,0
41,1,Aquatic Point,37.810496182905986,-122.42446721131131,2759,0,0,0,0,0,0,1,0
89,1,Rite Spot Cafe,37.76373464953866,-122.41507714587058,2764,0,0,0,1,0,0,0,0
10,1,Pancho Villa Taqueria,37.76489031730813,-122.42108881473541,2767,0,0,0,0,0,1,0,0
198,1,Casa Mexicana,37.768059321531446,-122.42908136675439,2783,0,0,0,0,0,1,0,0
70,1,Municipal Pier,37.810491241769874,-122.42514962985862,2786,0,0,0,0,0,0,1,0
79,1,Al Hamra,37.7647277,-122.421325,2791,0,0,1,0,0,0,0,0
86,1,Broadway & Divisadero,37.793342965241536,-122.44165983824956,2798,0,0,0,0,0,0,1,0
263,1,Nopa,37.774888,-122.437532,2808,0,0,0,1,0,0,0,0
170,1,Taqueria La Cumbre,37.76461967479461,-122.42179850202204,2817,0,0,0,0,0,1,0,0
17,1,Club Waziema,37.774681070094324,-122.4378144871454,2841,0,1,0,0,0,0,0,0
32,1,Delarosa,37.800287000000004,-122.43911022453688,2848,0,0,0,1,0,0,0,0
121,1,Pakwan,37.76489902919094,-122.42368140944069,2851,0,0,1,0,0,0,0,0
190,1,El Castillito,37.76361134545042,-122.41956953571481,2861,0,0,0,0,0,1,0,0
20,1,Locanda,37.764088189921914,-122.4217689545019,2871,0,0,0,1,0,0,0,0
40,1,il Casaro Pizzeria & Mozzarella Bar,37.766919,-122.42876,2871,0,0,0,1,0,0,0,0
27,1,wazima,37.77455598550745,-122.43817264259224,2875,0,1,0,0,0,0,0,0
9,1,Puerto Alegre,37.764076206727324,-122.4219073400287,2877,0,0,0,0,0,1,0,0
20,1,West of Pecos,37.764044560983926,-122.42194858530897,2881,0,0,0,0,0,1,0,0
92,1,Mozzeria,37.764801195394206,-122.42482076758033,2903,0,0,0,1,0,0,0,0
40,1,The Little Chihuahua,37.76369039294667,-122.42173514018708,2912,0,0,0,0,0,1,0,0
21,1,La Oaxaqueña Bakery & Restaurant,37.76296775573788,-122.41955815011012,2930,0,0,0,0,0,1,0,0
127,1,Anza Vista,37.77972063024766,-122.44206540753626,2936,0,0,0,0,0,0,1,0
119,1,Tacolicious,37.800330611171766,-122.44037875299355,2949,0,0,0,0,0,1,0,0
30,1,The Little Chihuahua,37.77203349168377,-122.43700236082077,2952,0,0,0,0,0,1,0,0
68,1,El Toro Taqueria,37.76333630778487,-122.4219010406445,2954,0,0,0,0,0,1,0,0
118,1,Maybeck's,37.799400251508956,-122.4410568218677,2958,0,0,0,1,0,0,0,0
3,1,Indian Paradox,37.77158,-122.436919,2977,0,0,1,0,0,0,0,0
133,1,Roma Antica,37.79987631457104,-122.44106220997331,2981,0,0,0,1,0,0,0,0
38,1,Viva Goa Indian Cuisine,37.799201152639725,-122.44145295062091,2981,0,0,1,0,0,0,0,0
153,1,Naan N Curry,37.762518,-122.41971,2982,0,0,1,0,0,0,0,0
0,1,Nopalito,37.77354423993796,-122.43917940929911,3010,0,0,0,0,0,1,0,0
24,1,Green Chile Kitchen,37.77736323565456,-122.44188173193396,3017,0,0,0,0,0,1,0,0
21,1,Curry Up Now,37.762319653793774,-122.42162745926812,3053,0,0,1,0,0,0,0,0
0,1,A16,37.80006754697879,-122.44205612395275,3069,0,0,0,1,0,0,0,0
2,1,Gracias Madre,37.761484,-122.419144,3080,0,0,0,0,0,1,0,0
160,1,"AmberDhara, Valencia",37.761986,-122.42191499999998,3096,0,0,1,0,0,0,0,0
11,1,Papito,37.76234647817989,-122.39740928735495,3110,0,0,0,0,0,1,0,0
42,1,Taqueria el Buen Sabor,37.76176187868646,-122.42157018792683,3110,0,0,0,0,0,1,0,0
61,1,flour+water pizzeria,37.76163292236174,-122.42157299524791,3124,0,0,0,1,0,0,0,0
37,1,Tara Indian Cuisine,37.76545904539987,-122.43148364720408,3142,0,0,1,0,0,0,0,0
29,1,Tacolicious,37.76094037094425,-122.4214506875055,3194,0,0,0,0,0,1,0,0
